"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
26948,"YELLOW TAIL MERLOT - 1.5L",6,13.99,83.94,7,13,7,5,15,4,3,3,6,11,6,4,7,1,3,10,11,10,5,6,22,9,5,3,3,5,10,2,7,4,9,13,6,3,1,11,17,5,20,0,0,3,13,1,4,2,11,5,3,7,3,4,1,369
97616,"DOS EQUIS LAGER 4/6 NR - 12OZ",24,1.665,39.96,0,6,6,0,0,6,0,6,0,0,18,0,12,12,6,12,0,0,0,6,6,0,30,6,6,0,6,0,12,6,12,12,12,0,6,12,12,12,18,0,24,0,12,0,0,12,12,0,0,6,0,18,6,374
26262,"DEVILS BACKBONE VIENNA LAGER 4/6NR - 12OZ",24,2.165,51.96,0,0,0,6,6,12,0,6,0,18,12,12,0,6,6,12,6,12,6,12,24,0,6,12,18,6,6,6,6,0,24,6,6,12,6,0,6,0,18,6,0,6,6,0,12,0,0,6,0,12,0,6,0,374
23213,"P MASSON BRANDY VS - 375ML",24,8.99,215.76,16,18,3,2,13,7,9,8,21,12,7,8,9,2,7,7,5,4,6,5,5,7,5,3,8,4,2,2,2,5,2,6,5,3,5,6,4,5,7,11,9,6,6,4,8,12,7,8,1,5,6,6,0,377
52057,"HIGH NOON SUN SIPS TEQUILA   - VARIETY 8 PACK  - 355ML",24,2.74875,65.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
73919,"DEEP EDDY RUBY RED GRAPEFRUIT VODKA - 50ML",120,1.49,178.8,0,0,0,17,26,8,17,10,18,6,9,5,0,3,14,14,5,14,12,11,2,6,8,5,4,16,1,6,4,3,1,6,4,7,4,4,0,3,2,3,6,7,0,7,2,9,1,3,6,4,7,7,6,464
26644,"DC BRAU PENN QUARTER PORT 4/6 CANS - 12OZ",24,1.831666667,43.960000008,0,12,18,0,6,13,6,30,24,0,0,6,12,0,0,0,18,0,6,12,12,18,0,24,6,0,0,0,0,0,0,0,0,0,0,0,0,18,0,6,12,12,6,18,0,12,12,24,0,0,0,0,0,369
69346,"LAGUNITAS SUMPIN SUMPIN 4/6 CANS",24,1.998333333,47.959999992,6,6,0,0,6,6,12,12,6,0,12,0,18,12,6,0,12,6,6,0,0,0,6,6,6,24,0,12,0,-12,0,6,0,12,12,24,0,6,6,6,6,6,6,18,24,6,12,6,6,0,12,0,0,368
40231,"E AND J BRANDY VSOP - 200ML",24,3.99,95.76,15,5,0,9,8,4,11,7,9,0,6,11,14,12,22,7,6,5,7,8,3,5,1,8,5,2,5,2,4,3,5,4,5,4,6,7,4,8,8,6,6,12,9,3,10,11,2,4,5,7,7,2,3,370
41360,"HENNESSY COGNAC VS - 375ML",12,22.99,275.88,0,4,8,0,11,1,12,6,6,4,6,7,1,4,11,9,13,10,7,8,13,9,3,9,5,3,5,3,8,4,6,3,13,5,11,7,7,9,6,7,8,7,9,7,4,8,9,6,4,3,3,4,3,374
71991,"HIGH NOON SUN SIPS SNOWBIRD 8 PK  - RTD",24,2.49875,59.97,0,0,0,0,0,0,0,8,16,8,0,0,0,8,16,16,0,16,0,24,24,16,0,24,16,40,8,0,16,8,8,8,0,16,8,8,0,16,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,362
47191,"SVEDKA VODKA - 375ML",24,6.99,167.76,2,5,16,9,4,1,6,3,13,11,3,10,6,6,6,10,9,4,7,3,6,11,10,3,3,7,3,2,3,3,3,4,2,4,4,9,12,5,9,11,15,5,4,7,9,7,6,3,8,7,8,6,3,367
10436,"OSKAR BLUES DALES PALE ALE 12.OZ 4/6 CAN",24,2.331666667,55.960000008,0,6,12,0,6,12,0,12,6,6,6,6,12,0,12,0,6,0,0,0,0,6,6,24,0,0,12,0,12,12,6,6,6,24,6,6,6,0,12,6,24,6,6,18,6,0,0,0,6,0,12,6,0,362
96679,"GROLSCH LAGER 4/6 NR - 12OZ",24,1.831666667,43.960000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
36986,"SVEDKA VODKA - 1.75L",6,22.99,137.94,6,4,9,6,8,8,7,9,6,4,4,10,8,4,6,9,8,6,9,9,9,11,6,7,8,5,5,6,4,7,7,6,7,5,4,4,1,4,4,5,8,7,2,8,8,2,7,4,11,6,4,6,6,363
60267,"7 LOCKS SURRENDER DOROTHY RYEPA 4/6 CANS",24,2.665,63.96,0,6,0,6,12,24,6,0,0,12,0,0,0,18,6,6,6,0,0,12,12,0,12,0,0,0,12,30,12,6,0,0,6,0,0,18,12,6,6,0,12,6,12,18,0,0,0,0,6,18,6,6,0,357
14546,"ATHLETIC FREE WAVE NA 4/6 CANS",24,1.998333333,47.959999992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
71983,"HIGH NOON SUN SIPS TRP VAR 8PK - RTD - 355ML",24,2.49875,59.97,0,0,8,8,8,0,0,0,0,0,0,8,8,16,0,8,0,0,0,16,8,0,8,0,0,32,8,0,8,0,8,8,0,8,8,16,0,8,16,8,8,32,0,16,8,0,8,8,0,0,8,16,0,354
18984,"BEER FARM FARM DOG 4/6 CAN",24,1.998333333,47.959999992,0,0,0,0,0,0,0,0,0,18,6,18,6,0,18,30,18,6,0,6,12,0,12,0,12,12,0,12,6,12,12,0,0,0,6,12,0,0,12,0,6,0,24,0,6,12,12,0,0,0,6,12,0,350
63393,"BELLS TWO HEARTED ALE 4/6 NR",24,2.498333333,59.959999992,0,12,0,6,12,18,6,0,0,6,12,12,0,0,0,0,0,12,6,0,6,0,6,0,6,0,12,12,6,0,12,12,6,6,6,0,0,0,0,12,6,0,12,6,12,6,18,18,6,12,12,0,6,344
15469,"BEER FARM DEWPOINT 6.0 4/6 CANS",24,1.998333333,47.959999992,6,6,6,6,6,0,0,0,12,0,12,30,0,6,6,6,0,0,18,6,12,12,6,12,12,24,6,0,12,0,0,18,12,0,6,12,6,0,12,0,6,0,0,0,0,0,6,0,0,6,6,0,6,344
84212,"SUTTER HOME CAB - 187ML",24,2.99,71.76,0,8,6,9,0,8,1,0,6,11,0,1,10,1,1,0,4,9,4,4,4,2,25,31,0,24,8,0,20,0,4,15,1,0,2,8,4,4,18,4,0,4,0,2,12,0,4,0,24,8,1,0,4,343
241478,"99 SCHNAPPS BIRTHDAY BUCKET - 21PK/50ML",126,0.99,124.74,0,0,0,0,21,0,0,0,0,21,0,21,21,0,42,42,63,0,0,0,0,0,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,21,0,0,0,0,0,0,0,0,0,0,442
17353,"BUFFALO TRACE BOURBON - 750ML",12,29.99,359.88,4,14,1,0,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,22,13,1,0,0,9,21,0,0,0,10,20,6,22,2,0,0,0,7,12,7,9,11,14,9,16,14,17,21,8,356
26670,"JACK DANIELS BLACK - 375ML",24,13.99,335.76,7,1,9,4,2,4,9,8,5,12,0,7,7,9,4,10,3,5,8,8,4,5,6,6,5,5,6,5,4,7,3,5,5,7,6,4,8,4,10,8,6,6,3,4,5,8,9,3,11,2,13,7,0,350
98167,"BECKS N/A-NR  - 12OZ",24,1.831666667,43.960000008,12,12,0,18,6,0,36,0,30,12,12,6,0,0,6,12,6,12,0,0,0,0,18,0,6,0,0,36,0,0,6,0,0,0,0,0,0,0,0,0,6,6,12,6,18,0,12,0,0,0,6,0,0,338
42267,"FEVER TREE CLUB SODA 3/8PK CAN - 150ML",24,1.332916667,31.990000008,0,0,0,8,8,0,0,0,0,8,0,0,0,16,0,0,24,0,8,8,24,8,0,16,8,8,16,24,0,8,8,0,0,16,0,0,0,8,0,0,0,16,16,8,0,8,0,24,0,8,8,0,0,337
99023,"DOGFISH HEAD PUNKIN ALE 4/6 CAN",24,2.331666667,55.960000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
241468,"99 SCHNAPPS BANANAS - 50ML",120,1.09,130.8,7,0,2,1,1,4,2,12,16,8,9,9,1,11,10,14,4,14,10,6,2,10,11,1,14,10,4,2,8,0,9,12,1,2,10,5,14,7,7,1,3,4,5,6,5,3,0,6,2,1,3,1,1,432
241472,"99 SCHNAPPS WATERMELON - 50ML",120,1.09,130.8,0,1,3,9,11,12,7,9,7,8,9,7,18,3,13,21,7,8,3,11,7,3,4,9,8,0,2,7,1,8,9,4,0,1,5,3,3,2,9,0,0,2,3,4,9,3,10,9,4,2,5,5,2,431
11118,"BULLEIT BOURBON - 750ML",12,28.99,347.88,1,2,6,9,7,8,7,5,4,5,8,6,4,4,4,5,6,7,13,7,19,11,4,7,5,2,3,4,6,3,4,3,1,5,3,6,6,5,4,2,11,5,10,6,6,7,9,7,4,3,11,4,3,348
38083,"BACARDI SUP WHITE RUM - 750ML",12,13.99,167.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
98655,"PAULANER HEFEWEIZEN 4/6NR - 12OZ",24,2.498333333,59.959999992,0,6,0,6,12,6,6,6,6,0,6,6,6,6,0,0,12,6,0,6,12,0,0,12,0,0,18,0,18,0,6,6,0,6,6,6,12,0,12,6,6,0,18,18,6,0,0,6,12,6,0,6,12,332
10434,"LAGUNITAS IPA 4/6 NR - 12OZ",24,1.998333333,47.959999992,6,0,12,6,12,6,6,0,0,0,0,0,0,12,6,0,0,6,0,18,12,0,6,0,18,6,6,12,12,0,6,6,6,0,0,24,6,6,0,0,6,6,12,0,6,0,12,6,0,18,6,12,6,332
84271,"SUTTER HOME CHARD - 187ML",24,2.99,71.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
14772,"SAM ADAMS JUST THE HAZE NA 4/6 CANS",24,1.831666667,43.960000008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
73628,"ALAMOS MALBEC - 750ML",12,12.99,155.88,6,5,5,3,8,1,12,6,5,4,11,5,10,3,8,7,3,9,12,6,3,2,7,3,3,3,4,5,5,7,4,7,4,4,7,4,10,4,6,7,8,6,12,5,4,2,5,8,2,5,5,10,5,330
83399,"K JACKSON VINT RES CHARD - 750ML",12,16.99,203.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
33464,"PATRON TEQUILA - SILVER - 750ML",12,45.99,551.88,15,1,2,4,5,0,4,2,6,2,0,3,4,1,3,4,2,6,7,9,5,4,7,5,6,12,7,6,2,6,5,7,17,2,10,5,19,4,3,5,11,2,11,7,6,3,3,7,4,1,12,16,4,362
18884,"CUTWATER LONG ISLAND ICE TEA 6/4 CAN",24,3.2475,77.94,0,4,4,4,16,4,8,12,0,8,4,4,8,8,4,4,4,0,0,4,4,4,8,8,4,8,4,4,4,8,12,8,0,4,0,4,12,8,4,0,4,20,8,8,4,8,12,8,0,0,8,12,0,327
19114,"CUTWATER MARGARITA VP 2/12 200ML CANS",24,2.3325,55.98,0,0,0,12,12,12,0,12,0,0,0,12,12,0,0,0,0,12,0,12,0,12,0,0,12,0,24,0,24,0,0,0,12,12,0,12,0,36,0,0,12,12,12,0,12,0,0,0,0,12,0,0,0,326
28404,"FLYING DOG BLOODLINE 4/6NR - 12OZ",24,2.165,51.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
81772,"BAREFOOT CEL P/GRIG - 187ML",24,1.99,47.76,3,0,3,3,0,4,23,0,0,3,8,0,37,0,24,0,7,9,15,1,0,31,5,5,7,2,8,4,3,3,0,3,5,8,3,0,5,7,6,5,0,0,4,0,1,3,0,5,2,0,10,0,24,325
23445,"CORONA EXTRA LOOSE NR - 12OZ",24,1.66625,39.99,0,3,12,0,4,2,2,2,5,1,9,1,6,2,5,6,4,2,5,2,10,11,11,6,14,1,10,1,3,7,6,10,7,9,9,4,18,4,5,10,0,2,8,5,8,6,4,13,5,2,4,5,7,324
