"ItemID","Description","Bottles_Per_Case","Cost_Amount_Per_Bottle","Total_Cost","Week1","Week2","Week3","Week4","Week5","Week6","Week7","Week8","Week9","Week10","Week11","Week12","Week13","Week14","Week15","Week16","Week17","Week18","Week19","Week20","Week21","Week22","Week23","Week24","Week25","Week26","Week27","Week28","Week29","Week30","Week31","Week32","Week33","Week34","Week35","Week36","Week37","Week38","Week39","Week40","Week41","Week42","Week43","Week44","Week45","Week46","Week47","Week48","Week49","Week50","Week51","Week52","Week53","Grand_Total"
377454,"XXL STRAWBERRY/GRAPES MOSCATO - 750ML",12,15.99,191.88,7,0,0,0,10,5,9,0,0,9,12,3,1,4,7,2,5,8,4,5,0,0,0,0,9,7,11,6,1,10,9,6,12,8,6,5,2,3,4,3,4,3,6,2,2,1,5,4,1,0,4,4,2,259
244013,"POST MERIDIEM MARGARITA - 24/100ML",24,4.99,119.76,1,2,7,6,2,1,1,3,2,2,14,12,3,5,4,3,4,18,0,11,7,5,6,10,6,1,11,2,3,1,3,3,6,1,18,0,1,12,3,2,1,1,1,2,2,0,1,9,1,1,0,8,2,260
85194,"ROSCATO RED - 750ML",12,14.99,179.88,0,7,9,2,6,0,0,0,0,1,3,4,2,0,17,2,9,6,4,5,4,7,6,6,5,3,4,7,1,6,0,2,2,5,1,5,3,6,2,0,0,3,1,8,3,12,7,6,7,5,8,13,5,257
131172,"SUTTER HOME P/GRIG 24/CS - 187ML",24,2.99,71.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
42544,"DEKUYPER SIGN TRIPLE SEC - 1L",12,7.99,95.88,0,1,1,2,3,3,3,9,3,5,4,2,5,1,1,2,2,7,3,5,12,5,7,5,1,17,5,4,10,4,7,4,7,2,1,7,1,3,1,5,3,3,4,8,4,4,1,8,2,3,6,7,5,248
74013,"WOODFORD RESERVE BOURBON 90.4 - 750ML",12,38.99,467.88,4,2,5,4,5,2,7,4,3,5,4,4,11,7,5,4,3,5,6,4,1,1,2,4,6,6,12,4,4,5,6,2,3,2,1,4,5,1,2,2,7,5,4,2,3,1,7,7,3,4,9,8,1,279
25883,"MODELO ESPECIAL 24 LOOSE NR - 12OZ",24,1.66625,39.99,1,2,2,1,2,3,3,4,2,0,1,5,6,4,3,3,4,2,3,6,4,3,4,2,4,1,3,6,2,3,2,4,5,2,11,0,12,7,7,7,9,1,2,8,5,2,16,3,7,2,5,9,13,254
72003,"HIGH NOON SUN SIPS MANGO - RTD - 355ML- 6/4 PK",24,2.7475,65.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
241472,"99 SCHNAPPS WATERMELON - 50ML",120,1.09,130.8,10,4,3,5,4,0,1,1,6,0,0,0,0,3,3,2,0,1,0,1,4,6,13,4,2,0,0,2,1,11,7,6,11,9,4,15,10,6,2,0,5,9,5,4,4,8,3,6,13,3,2,5,3,348
82615,"WHITEHAVEN NEW ZELAND S/BLC - 750ML",12,19.99,239.88,1,1,5,3,7,2,3,3,1,6,1,4,6,5,8,14,12,7,7,0,6,2,4,6,1,3,8,1,6,1,4,2,6,10,3,3,2,4,1,0,2,4,4,7,4,2,1,3,2,8,12,4,4,258
23886,"HEINEKEN LOOSE NR - 12OZ",24,1.707916667,40.990000008,1,0,3,2,2,3,6,1,5,1,3,4,4,4,2,3,3,9,0,3,5,3,12,0,10,8,7,2,2,2,1,7,3,7,3,5,6,8,6,2,1,4,2,0,5,3,5,5,10,0,8,7,17,251
41033,"HENNESSY COGNAC VS - 1L",12,60.99,731.88,4,6,3,4,3,7,7,3,5,6,1,6,6,3,3,2,3,6,1,4,2,1,2,5,0,6,4,4,2,4,5,3,8,3,1,8,2,7,2,1,2,3,3,7,5,11,3,6,4,2,6,7,12,297
35858,"BOWMANS VODKA - 1L",12,6.99,83.88,0,0,0,5,3,4,1,6,6,11,0,2,5,1,2,3,2,8,6,7,6,5,8,4,5,5,3,5,5,3,5,2,5,10,5,3,6,10,3,5,5,4,5,8,1,6,0,0,0,4,11,3,0,241
313992,"CHUM-CHURUM SOONHARI PEACH SOJU - 375ML",20,7.99,159.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
41360,"HENNESSY COGNAC VS - 375ML",12,22.99,275.88,0,12,0,3,4,3,5,5,4,0,8,4,6,5,3,3,5,2,4,4,4,3,3,5,6,5,5,2,3,5,5,4,7,7,4,5,2,8,11,5,8,4,3,0,0,4,1,5,3,3,4,5,2,256
38954,"BACARDI SUP WHITE RUM - 1L",12,19.99,239.88,2,7,0,1,7,4,6,5,0,1,3,1,2,1,4,1,6,6,5,6,1,4,2,4,6,6,14,4,5,7,2,4,3,3,5,9,2,3,5,0,7,2,13,3,1,1,3,6,2,7,7,9,0,250
24090,"JAMESON IRISH WHISKEY - 1L",12,45.99,551.88,2,5,2,7,3,4,3,5,5,7,5,9,3,1,2,2,1,2,3,2,6,2,2,6,4,3,3,2,3,1,2,6,2,4,4,8,1,4,1,7,3,6,3,7,5,8,4,8,4,2,7,11,5,275
379040,"STATESIDE VODKA SODA VARIETY PACK 3/8PK 12OZ CAN",24,2.24875,53.97,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,24,0,8,8,8,0,0,8,0,0,0,24,8,0,0,8,8,8,48,0,8,16,0,8,0,8,0,0,0,242
